Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
A100_v4.1_logs,64,1811977,678.29,683.23
A100_v4.1_logs,256,1995172,660.85,675.78
A100_v4.1_logs,256,2268817,665.51,676.17
A100_v4.1_logs,16,1735921,650.44,656.63
A100_v4.1_logs,16,1940547,591.88,600.50
A100_v4.1_logs,64,2004377,643.89,649.43
A100_v4.1_logs,256,1854796,685.83,692.36
A100_v4.1_logs,32,1731406,664.42,669.25
A100_v4.1_logs,32,1741242,665.47,670.68
A100_v4.1_logs,16,2031551,599.31,605.17
A100_v4.1_logs,16,1742948,644.01,650.71
A100_v4.1_logs,32,2056157,616.25,620.47
A100_v4.1_logs,16,1720723,638.35,657.12
A100_v4.1_logs,64,1836704,677.79,683.05
A100_v4.1_logs,256,2114644,657.96,674.99
A100_v4.1_logs,128,1892730,673.82,678.36
A100_v4.1_logs,64,1973239,639.36,647.28
A100_v4.1_logs,32,1739869,661.61,667.30
A100_v4.1_logs,16,1736153,649.79,655.78
A100_v4.1_logs,256,2122530,679.05,685.26
A100_v4.1_logs,128,1958411,661.01,665.44
A100_v4.1_logs,128,1839349,678.63,683.01
A100_v4.1_logs,16,1762151,644.56,655.05
A100_v4.1_logs,16,1740040,643.62,650.54
A100_v4.1_logs,16,1852221,641.91,648.53
A100_v4.1_logs,256,1845549,685.77,692.03
A100_v4.1_logs,256,2019296,682.35,688.34
A100_v4.1_logs,16,1728888,648.75,655.13
A100_v4.1_logs,256,2086643,681.03,688.73
A100_v4.1_logs,16,1893569,599.40,604.63
A100_v4.1_logs,16,1921675,599.34,604.96
A100_v4.1_logs,64,1843774,672.60,676.63
A100_v4.1_logs,128,1934776,673.08,677.30
A100_v4.1_logs,64,1842312,676.30,681.56
A100_v4.1_logs,256,1992157,659.29,676.95
A100_v4.1_logs,256,1976808,673.63,681.52
A100_v4.1_logs,256,1936770,672.27,679.78
A100_v4.1_logs,64,2277883,651.02,670.56
A100_v4.1_logs,256,1958714,665.83,674.81
A100_v4.1_logs,128,2410634,646.50,658.80
A100_v4.1_logs,16,1742134,644.57,651.25
A100_v4.1_logs,128,2202623,656.73,660.94
A100_v4.1_logs,128,2158409,655.27,659.66
A100_v4.1_logs,16,1797821,628.02,634.00
